transaction_hash,num_unique_input_addresses,total_input,transaction_fee
3a1b9e330d32fef1ee42f8e86420d2be978bbe0dc5862f17da9027cf9e11f8c4,9,44200000000000,0
7d502b2f0323e481c9dcc2c02db2377430e31a71c9d18271524d809039698915,1,4769900000,0
c42c77955ffc9085af69a73788582d120b7afcc6f0da997d88c429afb6a0790e,1,3200000000,0
fec0b26081d6cab234a99a1be5ebebaf5fb3c7fda86a57e83815aa4b193b3678,1,5001150000,0
344cbe4e26dd0b18b8b1a9e313bd9d343b3a06f7f0a269a8fa23bdbb21059669,1,199000000,100000
96a8d4574ee6d7e75a2e330ed0007b2b17d2d619f0ea942aba809e45eabd70ab,1,5007550000,0
6975ece908adfeefae3ae1faca3971862bcdb228e1f854d8f23c8f0292a3139c,1,101000000,0
77adf633e6ddc135d09772bb461ece494dd931c518dc84224a92ab8e44432212,1,118403317773,0
4f72a247e75875e947c2ec695eda3600655c9378459e2a4ece67c23af75fe948,1,100689082423,0
e65a312ef36468b1232b2336a7ee55ea0c6687a0be442ccc3aa671589c5c7830,1,849000000,0
8764aa8dfafff27aa56b30fb73a70927d98ac9d40b7f5ddcdc18d69a88ee95e9,1,100329226031,0
2e958ae2c82ffb23ed75caf9e8f0ffbf58086608d06cfd709fc0ffe9922f9114,2,304000000,0
11adb33152a5a1d11fb4963a56acce9f8e7a9c03f55b4ac96a351fd718ae6e74,1,85364000000,0
b84ad11064238a36334a39109167b31176c26c51ac3c536844789a2cb7bd79fe,1,76965580385,0
bf9b58d8f4a746f23808cad324cc7dd34964dc57d6d234c85ed28c12594fe922,1,201000000,0
98aa2f4826afac36b015521f93b76a3942b51bed43b5c28989af31d345c54134,1,70433393392,0
16c2e357ffa8f5b851f53ce2e375cd1c0d56e3ee1a76f3d8030f0252197b3683,1,59689183196,0
f934854dac79dcb5e80b317aa14b113feb529565ce477d4d7fca6bfea75a50ee,1,206000000,50000
c43749742423cec1f762b33d5811637790f4d9b2f38e775a4386d25cc412ea55,1,138485384,0
2fcbb3a10ec1e0ebad90f2cf22bd7eecc358e6529863943549cffe379ff1cff3,1,487400000,50000
873aa67142b029cfc7ac63778f4ae5f514eab2d58d5a22c346a60084b940e5a9,1,35563528234,0
97a3bdc59ec241320a3d938044a5e5b5edba2224db9478b165f47404857d1c8e,1,29926735530,0
9f0809544e08caed458704d86177776279358e23131be472d2606ba91e95d69d,1,300000000,0
2d7042785147aef6303b3c4587b9959ff65553bc0373a60ddd8af6e863a78bcf,1,201000000,0
d1d407e1ce07aac90ed5e95538b2464a2a20bc23f43e1bfb2c40b947c8b7336d,2,1245000000,0
50bf70228e32ff2648530c714c39ff1c25c6f118722d3b27a8bf28c2a753dd27,1,25053592886,0
e9c11c63b3c3b3a4e00dca22425dc15e677593f2933f4d802c2401949d80603c,1,4614800000,1000000
b7167f294f5489780fe9b00e016c60ef6f63018e661248c8386467b519202bf9,1,18684339913,0
819556f25242fd5d30f5b4502863f934d7504b027d7a1e17225093f994ec1725,1,14796692082,0
87abb6ee07f1e6fcbd1212dee832783f243ae48c89384302c3c4d982bd9f3be6,1,3742800000,1000000
d448340c329736064afdb3d8df52463e659e698d95633d93e9aa5b47297e6288,1,12437000000,0
d1de03aa312256ee9ef21cd303b68eed5237bc20e13d57d1043d99b699bc1aba,1,12288850000,0
f81738141a1a2c4db52b290f977f6940cc4472afe7bdabe69c937070b714557f,2,230000000,0
0f62375bc0b63fe7429cfa578cf0dde70af2515324c8b9b631bf983fbdcd29c0,1,5001550000,0
518610bb263289fc68767285fb248715721f367b5dbbba8571f8dba018860094,1,8205660000,0
76aa62af4c22e8be8148b2a22fd6f9c698e0302d659338e681a52478038fbe2c,1,8202891164,0
95edf0e9e7ffaddb9c024f0cf1ca82349ee2735cc85c24efc8d7b8250580302d,1,215000000,0
16dfe1f0b8407977e8b3d3a391f3ac4250f1fd86712d37572ce0998381af3170,1,224932691,1932691
d4950d1f2cdc908eebc472600bc5c8e3c990fd3fed7f7fa6b3cf85cf61c3c2f8,1,3547900000,1000000
afc2a673606fc467e2fdadf918a9ee21b9fcd8d8dca3272f3146b21598a04b99,1,3892415460,1000000
bbabd26db9edfd23a24216b97f822c454569e069aefb48b7d2400889ac20b00d,1,1221300000,1000000
b21e6d58918236d5e4eb282630a57df56c491e4be77695ca81ebd19bfbe79bfa,1,3384427966,1000000
b7ea39268afdde273859dcb8b162846fd2ebdbc38d83f239bbfc04bcba0a8331,3,2794000000,1000000
56578283638be9055a237572734fb8374816f26614b3414f8adb06ae90a177c1,2,4100000,1000000
